Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
AI Researcher,Finance,Medium,London,Medium,Low,Cybersecurity,"$71,529 ",No,Stable
Marketing Specialist,Finance,Small,San Francisco,Low,High,Cybersecurity,"$82,828 ",Yes,Decline
Data Scientist,Manufacturing,Small,Sydney,Medium,Medium,Project Management,"$73,519 ",No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Low,High,JavaScript,"$104,107 ",No,Decline
Marketing Specialist,Healthcare,Small,London,High,Low,Communication,"$74,977 ",Yes,Decline
Product Manager,Telecommunications,Medium,Sydney,Low,Low,Sales,"$66,567 ",Yes,Stable
AI Researcher,Education,Medium,Tokyo,Low,Low,Communication,"$92,840 ",Yes,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,High,Low,Project Management,"$64,200 ",Yes,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,"$54,011 ",No,Growth
Operations Manager,Technology,Medium,London,Medium,Medium,Sales,"$92,665 ",No,Stable
HR Manager,Manufacturing,Large,Paris,Low,High,Machine Learning,"$55,016 ",Yes,Decline
Operations Manager,Entertainment,Small,London,High,Low,Communication,"$105,506 ",Yes,Growth
Software Engineer,Telecommunications,Large,London,Medium,High,Machine Learning,"$62,093 ",No,Stable
Software Engineer,Healthcare,Small,Sydney,Low,Medium,Communication,"$45,187 ",No,Stable
Software Engineer,Technology,Large,New York,High,Low,Machine Learning,"$84,124 ",No,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Low,Communication,"$92,892 ",No,Growth
HR Manager,Entertainment,Small,New York,Medium,Medium,Machine Learning,"$99,830 ",Yes,Growth
Operations Manager,Telecommunications,Small,Tokyo,High,Medium,Project Management,"$93,440 ",No,Growth
Marketing Specialist,Entertainment,Large,Paris,High,Medium,Marketing,"$68,814 ",No,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Sales,"$104,261 ",Yes,Decline
Marketing Specialist,Education,Small,Berlin,High,Medium,JavaScript,"$109,203 ",No,Decline
Data Scientist,Energy,Large,Tokyo,Low,Low,Data Analysis,"$65,885 ",No,Stable
Sales Manager,Technology,Large,Berlin,High,Medium,UX/UI Design,"$86,380 ",Yes,Decline
Marketing Specialist,Telecommunications,Large,Berlin,Medium,Low,Python,"$84,511 ",Yes,Decline
AI Researcher,Retail,Medium,Dubai,Medium,Low,JavaScript,"$94,408 ",Yes,Decline
AI Researcher,Technology,Medium,San Francisco,Low,Medium,Python,"$85,902 ",No,Growth
Cybersecurity Analyst,Energy,Large,New York,Medium,Medium,Sales,"$88,642 ",No,Stable
HR Manager,Technology,Large,London,Medium,Low,JavaScript,"$102,836 ",Yes,Stable
Data Scientist,Finance,Medium,Singapore,High,Medium,Machine Learning,"$67,723 ",Yes,Stable
Data Scientist,Retail,Medium,Berlin,Medium,Medium,Machine Learning,"$104,747 ",No,Stable
HR Manager,Energy,Small,Paris,Low,Medium,UX/UI Design,"$112,823 ",Yes,Decline
Product Manager,Education,Small,Tokyo,High,High,Python,"$122,683 ",Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,Low,Data Analysis,"$47,133 ",Yes,Growth
Product Manager,Transportation,Large,Berlin,Low,High,Sales,"$86,342 ",No,Stable
Product Manager,Energy,Large,San Francisco,High,Medium,Machine Learning,"$50,698 ",No,Decline
Product Manager,Healthcare,Large,San Francisco,High,High,Marketing,"$41,299 ",No,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Project Management,"$92,882 ",No,Growth
Product Manager,Energy,Small,Sydney,High,High,Project Management,"$82,017 ",No,Growth
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,"$95,997 ",No,Growth
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,"$99,723 ",Yes,Decline
Sales Manager,Finance,Small,London,Medium,High,Project Management,"$114,958 ",No,Decline
Data Scientist,Transportation,Large,London,Medium,High,Communication,"$91,078 ",No,Growth
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,"$148,467 ",Yes,Stable
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,"$96,128 ",No,Growth
HR Manager,Education,Medium,London,Low,Low,Machine Learning,"$126,850 ",No,Growth
Marketing Specialist,Finance,Medium,San Francisco,High,Medium,Marketing,"$43,343 ",Yes,Growth
HR Manager,Finance,Small,Dubai,Low,High,JavaScript,"$116,995 ",Yes,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Medium,Project Management,"$86,385 ",Yes,Decline
Data Scientist,Transportation,Small,New York,High,Medium,Python,"$51,033 ",No,Stable
Sales Manager,Manufacturing,Small,London,Low,High,Cybersecurity,"$98,411 ",Yes,Growth
Product Manager,Telecommunications,Small,Paris,Medium,Low,Project Management,"$83,941 ",No,Stable
HR Manager,Transportation,Small,Dubai,High,High,Data Analysis,"$101,601 ",No,Stable
Operations Manager,Entertainment,Small,Berlin,Medium,Medium,JavaScript,"$110,222 ",No,Stable
Sales Manager,Technology,Large,Toronto,High,Medium,Project Management,"$60,217 ",No,Growth
AI Researcher,Transportation,Medium,Paris,Low,High,Python,"$110,298 ",Yes,Decline
Data Scientist,Education,Small,San Francisco,High,Low,Project Management,"$90,130 ",Yes,Growth
Sales Manager,Telecommunications,Large,Toronto,Medium,Low,Data Analysis,"$117,057 ",No,Stable
HR Manager,Entertainment,Large,Tokyo,Low,Medium,Cybersecurity,"$85,897 ",Yes,Stable
Data Scientist,Technology,Large,Tokyo,High,Medium,Sales,"$80,592 ",No,Decline
Marketing Specialist,Retail,Medium,Sydney,High,Low,UX/UI Design,"$90,541 ",No,Growth
Sales Manager,Entertainment,Small,Singapore,High,High,Cybersecurity,"$92,037 ",No,Stable
Cybersecurity Analyst,Retail,Large,Sydney,Medium,Medium,Communication,"$76,744 ",Yes,Decline
Data Scientist,Telecommunications,Medium,Dubai,Medium,Low,Project Management,"$80,074 ",No,Stable
HR Manager,Finance,Medium,Toronto,High,Medium,Machine Learning,"$65,462 ",No,Decline
Software Engineer,Entertainment,Medium,Singapore,Low,High,Marketing,"$81,307 ",Yes,Decline
Operations Manager,Healthcare,Large,Berlin,Low,Low,Machine Learning,"$103,526 ",Yes,Growth
UX Designer,Retail,Small,San Francisco,Medium,Medium,Cybersecurity,"$87,253 ",Yes,Stable
Product Manager,Education,Large,Toronto,Low,High,Machine Learning,"$110,181 ",Yes,Growth
UX Designer,Healthcare,Large,Sydney,Medium,Medium,Python,"$86,291 ",No,Stable
HR Manager,Energy,Small,New York,High,High,Machine Learning,"$61,370 ",Yes,Growth
AI Researcher,Energy,Small,Singapore,Medium,High,JavaScript,"$101,945 ",No,Stable
AI Researcher,Technology,Small,Singapore,Medium,Low,Sales,"$76,528 ",Yes,Growth
Software Engineer,Finance,Medium,San Francisco,High,High,Project Management,"$85,333 ",Yes,Decline
Product Manager,Telecommunications,Small,London,Low,Medium,Machine Learning,"$114,751 ",Yes,Stable
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,High,Data Analysis,"$66,783 ",Yes,Stable
Software Engineer,Manufacturing,Small,Tokyo,Medium,High,Sales,"$93,295 ",Yes,Decline
UX Designer,Education,Large,New York,High,Low,Sales,"$89,190 ",Yes,Growth
Software Engineer,Retail,Medium,Dubai,Low,High,Machine Learning,"$104,019 ",No,Stable
UX Designer,Telecommunications,Large,Dubai,Medium,High,Sales,"$107,103 ",Yes,Stable
Data Scientist,Healthcare,Large,Berlin,High,Medium,Marketing,"$95,277 ",Yes,Growth
AI Researcher,Energy,Small,Toronto,Medium,Low,Machine Learning,"$82,793 ",Yes,Decline
Data Scientist,Education,Small,Paris,High,Low,Python,"$99,467 ",Yes,Growth
Operations Manager,Manufacturing,Large,London,Low,Low,Cybersecurity,"$116,713 ",No,Growth
Product Manager,Entertainment,Small,Sydney,Low,High,JavaScript,"$89,454 ",Yes,Growth
Cybersecurity Analyst,Technology,Medium,Paris,Low,Low,UX/UI Design,"$84,655 ",Yes,Stable
UX Designer,Manufacturing,Medium,Paris,Low,High,Communication,"$97,763 ",Yes,Decline
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,"$90,775 ",Yes,Decline
UX Designer,Manufacturing,Medium,New York,Medium,Medium,Python,"$63,246 ",No,Growth
HR Manager,Education,Small,Tokyo,Low,Medium,Project Management,"$94,787 ",Yes,Stable
Software Engineer,Education,Large,Berlin,Low,Medium,Project Management,"$63,065 ",No,Growth
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,"$97,490 ",Yes,Stable
AI Researcher,Retail,Medium,New York,Medium,Medium,JavaScript,"$74,057 ",No,Stable
UX Designer,Energy,Small,Singapore,Low,High,Sales,"$90,737 ",No,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,"$97,812 ",Yes,Stable
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,"$139,078 ",Yes,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,"$104,855 ",No,Stable
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,"$117,296 ",No,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,"$127,435 ",Yes,Growth
AI Researcher,Energy,Small,Tokyo,High,High,Cybersecurity,"$99,785 ",No,Growth
HR Manager,Manufacturing,Large,New York,Low,Medium,Marketing,"$95,714 ",No,Decline
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,"$68,666 ",No,Growth
Software Engineer,Energy,Small,Dubai,Low,Low,Project Management,"$87,667 ",Yes,Stable
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,"$75,538 ",No,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,"$81,979 ",No,Decline
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,"$127,413 ",No,Growth
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,"$92,292 ",Yes,Growth
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,"$72,482 ",Yes,Decline
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,"$117,491 ",No,Decline
Product Manager,Technology,Large,Tokyo,Low,Medium,JavaScript,"$109,106 ",Yes,Stable
UX Designer,Energy,Small,Berlin,Low,Medium,Marketing,"$110,153 ",No,Growth
UX Designer,Education,Large,Paris,Medium,High,Project Management,"$49,877 ",Yes,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,"$128,973 ",Yes,Growth
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,"$78,830 ",No,Growth
Marketing Specialist,Healthcare,Large,London,Medium,Medium,JavaScript,"$105,559 ",Yes,Stable
UX Designer,Energy,Small,Sydney,Low,High,Python,"$140,476 ",Yes,Growth
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,"$133,107 ",Yes,Growth
Product Manager,Finance,Large,Tokyo,Low,High,Python,"$70,449 ",No,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,"$61,110 ",Yes,Decline
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,"$118,607 ",Yes,Stable
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,"$92,841 ",No,Decline
Sales Manager,Education,Medium,London,Low,Low,Sales,"$79,982 ",Yes,Stable
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,"$102,424 ",Yes,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,"$86,742 ",Yes,Growth
Marketing Specialist,Retail,Large,Tokyo,Low,Medium,Marketing,"$104,026 ",Yes,Stable
Product Manager,Technology,Small,San Francisco,Medium,Medium,Data Analysis,"$91,340 ",Yes,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,Medium,Sales,"$104,448 ",No,Decline
HR Manager,Technology,Large,San Francisco,Medium,High,Sales,"$72,109 ",No,Decline
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,"$118,489 ",Yes,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,High,Sales,"$103,952 ",Yes,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,"$102,926 ",Yes,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,"$67,647 ",No,Decline
UX Designer,Retail,Small,Dubai,High,Low,Machine Learning,"$123,993 ",No,Decline
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,"$89,726 ",Yes,Stable
Data Scientist,Technology,Medium,Toronto,Low,Low,UX/UI Design,"$104,561 ",Yes,Decline
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,"$83,544 ",No,Growth
HR Manager,Healthcare,Large,Berlin,Low,Medium,Project Management,"$95,218 ",Yes,Stable
UX Designer,Energy,Large,Toronto,High,Medium,Cybersecurity,"$95,943 ",No,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,"$33,601 ",No,Stable
UX Designer,Manufacturing,Small,San Francisco,High,Medium,Project Management,"$101,649 ",Yes,Growth
Sales Manager,Transportation,Small,Paris,Low,Low,Project Management,"$129,307 ",No,Stable
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,"$100,796 ",Yes,Decline
Sales Manager,Healthcare,Small,Dubai,High,Low,Cybersecurity,"$70,846 ",Yes,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,"$102,999 ",Yes,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,"$111,190 ",Yes,Stable
Sales Manager,Retail,Small,New York,Low,Medium,Cybersecurity,"$100,249 ",Yes,Decline
Data Scientist,Technology,Small,Toronto,High,Medium,Marketing,"$88,517 ",Yes,Stable
UX Designer,Manufacturing,Medium,Dubai,High,Medium,Marketing,"$85,157 ",No,Decline
UX Designer,Entertainment,Medium,Sydney,Low,High,Project Management,"$85,074 ",No,Growth
Data Scientist,Technology,Medium,Tokyo,Low,Low,Python,"$103,956 ",No,Growth
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,"$61,858 ",No,Growth
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,"$82,563 ",Yes,Growth
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,"$121,912 ",No,Stable
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,"$122,684 ",No,Decline
Sales Manager,Finance,Medium,Toronto,Low,Low,Machine Learning,"$60,437 ",No,Growth
Data Scientist,Technology,Large,Paris,Medium,Medium,Cybersecurity,"$67,372 ",Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,"$84,588 ",No,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,"$107,852 ",Yes,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,"$53,451 ",No,Stable
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,"$88,904 ",Yes,Stable
HR Manager,Entertainment,Large,Paris,High,Low,JavaScript,"$80,516 ",Yes,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,"$116,519 ",No,Decline
HR Manager,Finance,Large,Dubai,High,Medium,Data Analysis,"$56,462 ",Yes,Growth
Sales Manager,Finance,Medium,New York,High,Low,Cybersecurity,"$91,851 ",Yes,Growth
Product Manager,Technology,Small,Dubai,High,Low,Marketing,"$82,128 ",No,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,"$119,396 ",No,Decline
Sales Manager,Education,Small,Berlin,Low,Medium,Data Analysis,"$101,953 ",No,Stable
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,"$78,284 ",Yes,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,"$107,068 ",Yes,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,"$82,223 ",Yes,Growth
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,"$109,987 ",No,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,Project Management,"$85,258 ",Yes,Growth
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,"$111,093 ",Yes,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,"$98,722 ",Yes,Stable
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,"$155,210 ",Yes,Decline
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,"$88,942 ",Yes,Decline
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,"$97,657 ",Yes,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,"$80,412 ",Yes,Growth
UX Designer,Telecommunications,Small,New York,High,High,Marketing,"$90,054 ",No,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,"$35,963 ",No,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,"$99,312 ",No,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,"$116,857 ",Yes,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,"$97,933 ",Yes,Growth
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,"$63,723 ",No,Growth
Marketing Specialist,Energy,Medium,Berlin,Low,Low,Communication,"$73,964 ",Yes,Stable
UX Designer,Finance,Medium,San Francisco,Low,Medium,Cybersecurity,"$41,396 ",No,Decline
UX Designer,Education,Medium,Sydney,Low,Medium,Data Analysis,"$109,578 ",Yes,Growth
HR Manager,Technology,Medium,Berlin,Medium,High,Marketing,"$69,870 ",Yes,Growth
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,"$89,426 ",No,Decline
Data Scientist,Technology,Small,London,Medium,High,Cybersecurity,"$86,925 ",No,Decline
AI Researcher,Entertainment,Small,Sydney,High,Medium,Marketing,"$119,755 ",No,Stable
Sales Manager,Technology,Small,San Francisco,Medium,Low,Cybersecurity,"$91,706 ",No,Stable
Marketing Specialist,Technology,Small,San Francisco,Medium,Low,Marketing,"$106,178 ",No,Stable
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,"$100,929 ",Yes,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,"$117,188 ",Yes,Growth
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,"$85,218 ",Yes,Growth
Data Scientist,Energy,Large,New York,Medium,High,Marketing,"$127,392 ",No,Stable
Marketing Specialist,Energy,Small,Dubai,Low,Medium,Python,"$50,287 ",No,Decline
AI Researcher,Finance,Small,Sydney,Low,Low,Python,"$107,149 ",No,Growth
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,"$72,668 ",No,Stable
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,"$80,145 ",No,Growth
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,"$101,388 ",No,Growth
Data Scientist,Education,Small,New York,Medium,High,Project Management,"$101,228 ",Yes,Decline
HR Manager,Finance,Small,Paris,High,Low,Machine Learning,"$102,129 ",Yes,Decline
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,"$62,277 ",Yes,Growth
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,"$118,981 ",Yes,Stable
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,"$71,987 ",Yes,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,"$74,654 ",No,Growth
AI Researcher,Retail,Medium,New York,Low,Medium,Python,"$102,758 ",No,Decline
UX Designer,Technology,Large,New York,High,Medium,Marketing,"$84,266 ",No,Decline
Software Engineer,Retail,Medium,New York,Medium,Low,Marketing,"$96,165 ",No,Decline
HR Manager,Transportation,Small,London,Medium,High,Communication,"$46,868 ",No,Growth
Software Engineer,Retail,Medium,Sydney,Low,Low,Communication,"$95,686 ",No,Stable
HR Manager,Education,Small,Paris,Medium,High,JavaScript,"$94,357 ",Yes,Stable
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,"$79,803 ",No,Stable
Data Scientist,Technology,Large,Dubai,Medium,High,Sales,"$48,518 ",No,Decline
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,"$85,744 ",No,Growth
AI Researcher,Transportation,Large,San Francisco,High,High,JavaScript,"$89,253 ",No,Decline
UX Designer,Technology,Medium,Singapore,Medium,Low,Data Analysis,"$82,655 ",Yes,Stable
UX Designer,Retail,Small,London,Low,Medium,Data Analysis,"$53,277 ",Yes,Stable
UX Designer,Education,Large,Tokyo,Low,High,JavaScript,"$121,895 ",No,Growth
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,"$77,223 ",Yes,Decline
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,"$85,556 ",Yes,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,"$41,811 ",No,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,"$121,897 ",No,Decline
Marketing Specialist,Technology,Medium,Tokyo,High,Medium,Marketing,"$80,669 ",No,Decline
UX Designer,Education,Small,Paris,Low,Medium,Cybersecurity,"$91,969 ",No,Stable
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,"$112,415 ",No,Stable
Software Engineer,Retail,Small,Tokyo,High,Medium,Marketing,"$76,474 ",Yes,Decline
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,"$109,265 ",No,Decline
Marketing Specialist,Retail,Medium,Tokyo,Low,Medium,Data Analysis,"$48,773 ",No,Stable
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,"$101,020 ",No,Decline
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,"$121,445 ",Yes,Stable
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,"$78,392 ",No,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,"$112,378 ",No,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,"$126,678 ",No,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Python,"$84,903 ",Yes,Stable
Operations Manager,Finance,Large,Toronto,High,Low,Communication,"$83,249 ",No,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,"$72,034 ",No,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,"$79,805 ",No,Decline
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,"$73,693 ",Yes,Growth
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,"$72,018 ",No,Stable
Marketing Specialist,Retail,Small,Berlin,High,High,Python,"$113,977 ",No,Decline
Software Engineer,Telecommunications,Small,Tokyo,Low,Medium,Marketing,"$74,201 ",No,Growth
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,"$95,170 ",Yes,Decline
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,"$90,765 ",No,Decline
AI Researcher,Education,Large,San Francisco,Low,Medium,Cybersecurity,"$119,962 ",No,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,"$79,937 ",No,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,"$97,623 ",Yes,Growth
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,"$105,821 ",Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,"$119,795 ",No,Decline
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,"$79,645 ",Yes,Stable
Operations Manager,Healthcare,Large,Paris,High,Low,Python,"$77,642 ",Yes,Stable
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,"$68,764 ",Yes,Decline
